Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount_04-2020,XploreCitationCount - 2021-02,PubsCited,Award,Doc_ID,doc_index
InfoVis,2009,GeneShelf: A Web-based Visual Interface for Large Gene Expression Time-Series Data Repositories,10.1109/TVCG.2009.146,http://dx.doi.org/10.1109/TVCG.2009.146,905,912,J,"A widespread use of high-throughput gene expression analysis techniques enabled the biomedical research community to share a huge body of gene expression datasets in many public databases on the web. However, current gene expression data repositories provide static representations of the data and support limited interactions. This hinders biologists from effectively exploring shared gene expression datasets. Responding to the growing need for better interfaces to improve the utility of the public datasets, we have designed and developed a new web-based visual interface entitled GeneShelf (http://bioinformatics.cnmcresearch.org/GeneShelf). It builds upon a zoomable grid display to represent two categorical dimensions. It also incorporates an augmented timeline with expandable time points that better shows multiple data values for the focused time point by embedding bar charts. We applied GeneShelf to one of the largest microarray datasets generated to study the progression and recovery process of injuries at the spinal cord of mice and rats. We present a case study and a preliminary qualitative user study with biologists to show the utility and usability of GeneShelf.",Bo Hyoung Kim;Bongshin Lee;Susan Knoblach;Eric P. Hoffman;Jinwook Seo,Bohyoung Kim;Bongshin Lee;Susan Knoblach;Eric Hoffman;Jinwook Seo,Seoul National University;Microsoft Research;Children's National Medical Center;Children's National Medical Center;Seoul National University,,"bioinformatics visualization, augmented timeline, animation, zoomable grid, gene expression profiling",12.0,9.0,26.0,,1065,1066
SciVis,2015,AnimoAminoMiner: Exploration of Protein Tunnels and their Properties in Molecular Dynamics,10.1109/TVCG.2015.2467434,http://dx.doi.org/10.1109/TVCG.2015.2467434,747,756,J,"In this paper we propose a novel method for the interactive exploration of protein tunnels. The basic principle of our approach is that we entirely abstract from the 3D/4D space the simulated phenomenon is embedded in. A complex 3D structure and its curvature information is represented only by a straightened tunnel centerline and its width profile. This representation focuses on a key aspect of the studied geometry and frees up graphical estate to key chemical and physical properties represented by surrounding amino acids. The method shows the detailed tunnel profile and its temporal aggregation. The profile is interactively linked with a visual overview of all amino acids which are lining the tunnel over time. In this overview, each amino acid is represented by a set of colored lines depicting the spatial and temporal impact of the amino acid on the corresponding tunnel. This representation clearly shows the importance of amino acids with respect to selected criteria. It helps the biochemists to select the candidate amino acids for mutation which changes the protein function in a desired way. The AnimoAminoMiner was designed in close cooperation with domain experts. Its usefulness is documented by their feedback and a case study, which are included.",Jan Byska;Mathieu Le Muzic;M. Eduard Gröller;Ivan Viola;Barbora Kozlíková,Jan Byška;Mathieu Le Muzic;M. Eduard Gröller;Ivan Viola;Barbora Kozlíková,"Masaryk University, Czech Republic;TU Wien, Austria;TU Wien, Austria;TU Wien, Austria;Masaryk University, Czech Republic",10.1109/VISUAL.2002.1183754;10.1109/TVCG.2009.136;10.1109/TVCG.2011.259;10.1109/VISUAL.2001.964540,"Protein, tunnel, molecular dynamics, aggregation, interaction",10.0,14.0,25.0,,956,957
Vis,1991,"Cooperative, computer-aided design of scientific visualizations",10.1109/VISUAL.1991.175819,http://dx.doi.org/10.1109/VISUAL.1991.175819,306,"313, 430",C,"Partial automation of the task of designing graphical displays that effectively depict the data to be visualized through cooperative computer-aided design (CCAD) is described. This paradigm combines the strengths of manual and automated design by interspersing guiding design operations by the human user with the exploration of design alternatives by the computer. The approach is demonstrated in the context of the IVE design system, a CCAD environment for the design of scientific visualizations using a set of design rules that combine primitive visualization components in different ways. These alternatives are presented graphically to the user, who can browse through them, select the most promising visualization, and refine it manually.",Sandeep Kochhar;Mark Friedell;Mark Vincent LaPolla,S. Kochhar;M. Friedell;M. LaPolla,"Harvard Univ., Cambridge, MA, USA;Harvard Univ., Cambridge, MA, USA",,"Grammar-directed design, cooperative design and modeling, design automation, human-computer interaction, automated design of graphical displays",13.0,6.0,22.0,,1095,1096
SciVis,2020,Direct Volume Rendering with Nonparametric Models of Uncertainty,10.1109/TVCG.2020.3030394,http://dx.doi.org/10.1109/TVCG.2020.3030394,1797,1807,J,"We present a nonparametric statistical framework for the quantification, analysis, and propagation of data uncertainty in direct volume rendering (DVR). The state-of-the-art statistical DVR framework allows for preserving the transfer function (TF) of the ground truth function when visualizing uncertain data; however, the existing framework is restricted to parametric models of uncertainty. In this paper, we address the limitations of the existing DVR framework by extending the DVR framework for nonparametric distributions. We exploit the quantile interpolation technique to derive probability distributions representing uncertainty in viewing-ray sample intensities in closed form, which allows for accurate and efficient computation. We evaluate our proposed nonparametric statistical models through qualitative and quantitative comparisons with the mean-field and parametric statistical models, such as uniform and Gaussian, as well as Gaussian mixtures. In addition, we present an extension of the state-of-the-art rendering parametric framework to 2D TFs for improved DVR classifications. We show the applicability of our uncertainty quantification framework to ensemble, downsampled, and bivariate versions of scalar field datasets.",Tushar M. Athawale;Bo Ma 0002;Elham Sakhaee;Christopher R. Johnson 0001;Alireza Entezari,Tushar M. Athawale;Bo Ma;Elham Sakhaee;Chris R. Johnson;Alireza Entezari,"University of Utah, Scientific Computing & Imaging (SCI) Institute, Salt Lake City;Department of CISE at the University of FloridaGainesville;Department of CISE at the University of FloridaGainesville;University of Utah, Scientific Computing & Imaging (SCI) Institute, Salt Lake City;Department of CISE at the University of FloridaGainesville","10.1109/TVCG.2013.208,10.1109/TVCG.2018.2864505,10.1109/TVCG.2015.2467958,10.1109/VAST.2009.5332611,10.1109/TVCG.2012.227,10.1109/TVCG.2018.2864432,10.1109/TVCG.2012.227,10.1109/VISUAL.2001.964519,10.1109/VISUAL.2005.1532807,10.1109/TVCG.2007.70518,10.1109/TVCG.2014.2346455,10.1109/VISUAL.1997.663848,10.1109/TVCG.2013.143","Volumes,uncertainty,nonparametric,2D transfer function",,0.0,61.0,,3235,3236
Vis,1995,Pictorial statistics-visualization of high-dimensional statistical distributions,10.1109/VISUAL.1995.485149,http://dx.doi.org/10.1109/VISUAL.1995.485149,346,349,C,"A general framework for visualization of statistical properties of high-dimensional pattern samples and the related computational steps are introduced. These procedures are exemplified on applications in anthropometrical research (shape information in faces) but can be easily generalized to various other morphometrical questions and data sets with pattern structure, e.g., data stemming from sensor arrays. Presently, the visualization techniques illustrated concentrate on (higher) moments of first order. It is suggested, how moments of second order can be visualized by animations and how this approach can be used in the context of comparative visualization.",Andreas A. Müller,A.A. Muller,"IWSP, Gottingen Univ., Germany",,,0.0,0.0,6.0,,13,14
InfoVis,1996,Minimally-immersive interactive volumetric information visualization,10.1109/INFVIS.1996.559220,http://dx.doi.org/10.1109/INFVIS.1996.559220,66,"67, 123",M,"This paper describes a minimally immersive volumetric interactive system for information visualization. The system, SFA, uses glyph-based volume rendering, enabling more information attributes to be visualized than traditional 2D and surface-based information visualization systems. Two-handed interaction and stereoscopic viewing combine to produce a minimally immersive interactive system that enhances the user's three-dimensional perception of the information space, capitalizing on the human visual system's pre-attentive learning capabilities to quickly analyze the displayed information. The paper describes the usefulness of this system for the visualization of document similarity within a corpus of textual documents. SFA allows the three-dimensional volumetric visualization, manipulation, navigation, and analysis of multivariate, time-varying information spaces, increasing the quantity and clarity of information conveyed from the visualization as compared to traditional 2D information systems.",David S. Ebert;Chris Shaw 0002;Amen Zwa;Ethan L. Miller;D. Aaron Roberts,D.S. Ebert;C. Shaw;A. Zwa;E.L. Miller;D.A. Roberts,"Maryland Univ., Baltimore, MD, USA",,,12.0,7.0,6.0,,1040,1041
InfoVis,2020,SafetyLens: Visual Data Analysis of Functional Safety of Vehicles,10.1109/TVCG.2020.3030382,http://dx.doi.org/10.1109/TVCG.2020.3030382,1688,1697,J,"Modern automobiles have evolved from just being mechanical machines to having full-fledged electronics systems that enhance vehicle dynamics and driver experience. However, these complex hardware and software systems, if not properly designed, can experience failures that can compromise the safety of the vehicle, its occupants, and the surrounding environment. For example, a system to activate the brakes to avoid a collision saves lives when it functions properly, but could lead to tragic outcomes if the brakes were applied in a way that's inconsistent with the design. Broadly speaking, the analysis performed to minimize such risks falls into a systems engineering domain called Functional Safety. In this paper, we present SafetyLens, a visual data analysis tool to assist engineers and analysts in analyzing automotive Functional Safety datasets. SafetyLens combines techniques including network exploration and visual comparison to help analysts perform domain-specific tasks. This paper presents the design study with domain experts that resulted in the design guidelines, the tool, and user feedback.",Arpit Narechania;Ahsan Qamar;Alex Endert,Arpit Narechania;Ahsan Qamar;Alex Endert,Georgia Institute of Technology;Ford Motor Company;Georgia Institute of Technology,"10.1109/VAST.2006.261426,10.1109/TVCG.2014.2346248,10.1109/TVCG.2011.185,10.1109/TVCG.2014.2346249,10.1109/TVCG.2012.255,10.1109/TVCG.2006.166,10.1109/TVCG.2009.108","Visual data analysis,Design study,Network visualization,Functional safety,Automotive engineering",,0.0,56.0,,3208,3209
InfoVis,1998,Saying it in graphics: from intentions to visualizations,10.1109/INFVIS.1998.729564,http://dx.doi.org/10.1109/INFVIS.1998.729564,97,101,C,"The authors propose a methodology for automatically realizing communicative goals in graphics. It features a task model that mediates the communicative intent and the selection of graphical techniques. The methodology supports the following functions: isolating assertions presentable in graphics; mapping such assertions into tasks for the potential reader, and selecting graphical techniques that support those tasks. They illustrate the methodology by redesigning a textual argument into a multimedia one with the same rhetorical and content structures but employing graphics to achieve some of the intentions.",Stephan M. Kerpedjiev;Giuseppe Carenini;Nancy L. Green;Johanna D. Moore;Steven F. Roth,S. Kerpedjiev;G. Carenini;N. Green;J. Moore;S. Roth,"Carnegie Mellon Univ., Pittsburgh, PA, USA",,,21.0,3.0,11.0,,1496,1497
SciVis,2018,Objective Vortex Corelines of Finite-sized Objects in Fluid Flows,10.1109/TVCG.2018.2864828,http://dx.doi.org/10.1109/TVCG.2018.2864828,956,966,J,"Vortices are one of the most-frequently studied phenomena in fluid flows. The center of the rotating motion is called the vortex coreline and its successful detection strongly depends on the choice of the reference frame. The optimal frame moves with the center of the vortex, which incidentally makes the observed fluid flow steady and thus standard vortex coreline extractors such as Sujudi-Haimes become applicable. Recently, an objective optimization framework was proposed that determines a near-steady reference frame for tracer particles. In this paper, we extend this technique to the detection of vortex corelines of inertial particles. An inertial particle is a finite-sized object that is carried by a fluid flow. In contrast to the usual tracer particles, they do not move tangentially with the flow, since they are subject to gravity and exhibit mass-dependent inertia. Their particle state is determined by their position and own velocity, which makes the search for the optimal frame a high-dimensional problem. We demonstrate in this paper that the objective detection of an inertial vortex coreline can be reduced in 2D to a critical point search in 2D. For 3D flows, however, the vortex coreline criterion remains a parallel vectors condition in 6D. To detect the vortex corelines we propose a recursive subdivision approach that is tailored to the underlying structure of the 6D vectors. The resulting algorithm is objective, and we demonstrate the vortex coreline extraction in a number of 2D and 3D vector fields.",Tobias Günther;Holger Theisel,Tobias Günther;Holger Theisel,Computer Graphics LaboratoryETH Zürich;Visual Computing GroupUniversity of Magdeburg,10.1109/VISUAL.1991.175773;10.1109/TVCG.2015.2467200;10.1109/TVCG.2014.2346415;10.1109/TVCG.2016.2599016;10.1109/VISUAL.1997.663910;10.1109/VISUAL.1999.809896;10.1109/VISUAL.1998.745296;10.1109/TVCG.2016.2599018;10.1109/VISUAL.2005.1532851;10.1109/TVCG.2007.70545,"Vortex extraction,inertial particles,objectivity,vortex coreline",3.0,1.0,81.0,,483,484
Vis,2009,Depth-Dependent Halos: Illustrative Rendering of Dense Line Data,10.1109/TVCG.2009.138,http://dx.doi.org/10.1109/TVCG.2009.138,1299,1306,J,"We present a technique for the illustrative rendering of 3D line data at interactive frame rates. We create depth-dependent halos around lines to emphasize tight line bundles while less structured lines are de-emphasized. Moreover, the depth-dependent halos combined with depth cueing via line width attenuation increase depth perception, extending techniques from sparse line rendering to the illustrative visualization of dense line data. We demonstrate how the technique can be used, in particular, for illustrating DTI fiber tracts but also show examples from gas and fluid flow simulations and mathematics as well as describe how the technique extends to point data. We report on an informal evaluation of the illustrative DTI fiber tract visualizations with domain experts in neurosurgery and tractography who commented positively about the results and suggested a number of directions for future work.",Maarten H. Everts;Henk Bekker;Jos B. T. M. Roerdink;Tobias Isenberg 0001,Maarten H. Everts;Henk Bekker;Jos B.T.M. Roerdink;Tobias Isenberg,University of Groningen;University of Groningen;University of Groningen;University of Groningen,10.1109/VISUAL.2000.885694;10.1109/TVCG.2007.70532;10.1109/TVCG.2006.172;10.1109/VISUAL.2000.885696;10.1109/VISUAL.2005.1532778;10.1109/TVCG.2006.115;10.1109/VISUAL.2005.1532859;10.1109/TVCG.2006.197;10.1109/VISUAL.2005.1532858;10.1109/TVCG.2007.70555;10.1109/VISUAL.1996.567777;10.1109/VISUAL.2004.48,"Illustrative rendering and visualization, NPR, dense line data, DTI, black-and-white rendering, GPU technique",90.0,71.0,44.0,BP,2763,2764
